,city,country,hash,date
4693,Mandritsara,Madagascar,0xny8sagtl8zyspcm6n1dgq2lk0bppazjyf2vl28iw,2016-02-24 12:47:03
3003,Varanasi,India,0xny8sagtl8zyspcm6n1dgq2lk0bppazjyf2vl28iw,2016-04-23 19:02:14
4679,Ondangwa,Namibia,0xny8sagtl8zyspcm6n1dgq2lk0bppazjyf2vl28iw,2016-05-13 09:16:17
4761,Seinäjoki / Ilmajoki,Finland,0xny8sagtl8zyspcm6n1dgq2lk0bppazjyf2vl28iw,2016-05-29 00:40:41
4082,Kalymnos,Greece,0xny8sagtl8zyspcm6n1dgq2lk0bppazjyf2vl28iw,2016-07-13 02:50:54
4760,Nottingham,United Kingdom,0xny8sagtl8zyspcm6n1dgq2lk0bppazjyf2vl28iw,2016-07-02 15:18:49
4016,Utila,Honduras,0xny8sagtl8zyspcm6n1dgq2lk0bppazjyf2vl28iw,2016-08-24 08:01:41
1839,Coto 47,Costa Rica,0xny8sagtl8zyspcm6n1dgq2lk0bppazjyf2vl28iw,2016-09-01 11:05:01
2951,Kirkuk,Iraq,0xk6c3fvlrks24ejggwfvyxyvp7vnpc2adjkzi6muy,2016-02-01 22:07:12
3315,Point Lay,United States,0xk6c3fvlrks24ejggwfvyxyvp7vnpc2adjkzi6muy,2016-03-04 05:52:02
3929,Bloomington,United States,0xk6c3fvlrks24ejggwfvyxyvp7vnpc2adjkzi6muy,2016-03-31 20:34:47
4748,Penzance,United Kingdom,0xk6c3fvlrks24ejggwfvyxyvp7vnpc2adjkzi6muy,2016-04-02 22:56:18
158,Winnipeg,Canada,0xk6c3fvlrks24ejggwfvyxyvp7vnpc2adjkzi6muy,2016-05-27 18:59:23
708,Kramfors,Sweden,0xk6c3fvlrks24ejggwfvyxyvp7vnpc2adjkzi6muy,2016-07-10 05:08:00
1420,Andravida,Greece,0xk6c3fvlrks24ejggwfvyxyvp7vnpc2adjkzi6muy,2016-07-01 12:50:17
3359,Kansas City,United States,0xk6c3fvlrks24ejggwfvyxyvp7vnpc2adjkzi6muy,2016-08-30 03:05:01
443,Oulu,Finland,0xk6c3fvlrks24ejggwfvyxyvp7vnpc2adjkzi6muy,2016-09-18 23:10:04
4494,Jabor Jaluit Atoll,Marshall Islands,0xk6c3fvlrks24ejggwfvyxyvp7vnpc2adjkzi6muy,2016-10-20 04:12:02
2639,Barranquilla,Colombia,0xk6c3fvlrks24ejggwfvyxyvp7vnpc2adjkzi6muy,2016-12-24 09:07:10
3958,Port O\\'Connor,United States,0xk6c3fvlrks24ejggwfvyxyvp7vnpc2adjkzi6muy,2017-02-18 22:21:13
2201,Babelthuap,Palau,0x2qw30z4yp9ssbsavuql0lma2p4mlbadoba14bthz,2016-02-14 21:14:47
3699,Homestead,United States,0x2qw30z4yp9ssbsavuql0lma2p4mlbadoba14bthz,2016-02-07 09:40:04
4111,Denver,United States,0x2qw30z4yp9ssbsavuql0lma2p4mlbadoba14bthz,2016-03-30 06:02:08
3992,Medford,United States,0x2qw30z4yp9ssbsavuql0lma2p4mlbadoba14bthz,2016-04-27 00:37:32
99,Ottawa,Canada,0x2qw30z4yp9ssbsavuql0lma2p4mlbadoba14bthz,2016-05-11 09:56:48
248,Sunyani,Ghana,0x2qw30z4yp9ssbsavuql0lma2p4mlbadoba14bthz,2016-07-10 14:27:47
2983,Rourkela,India,0x2qw30z4yp9ssbsavuql0lma2p4mlbadoba14bthz,2016-07-14 23:53:56
4722,Hemavan,Sweden,0x2qw30z4yp9ssbsavuql0lma2p4mlbadoba14bthz,2016-08-20 10:48:43
4161,Nizhniy Novgorod,Russia,0x2qw30z4yp9ssbsavuql0lma2p4mlbadoba14bthz,2016-09-28 09:16:28
1709,Pristina,Serbia,0x2qw30z4yp9ssbsavuql0lma2p4mlbadoba14bthz,2016-10-06 17:17:27
102,Portage-la-prairie,Canada,0x2qw30z4yp9ssbsavuql0lma2p4mlbadoba14bthz,2016-11-06 18:21:16
1800,Uruapan,Mexico,0x2qw30z4yp9ssbsavuql0lma2p4mlbadoba14bthz,2017-01-07 09:50:59
4757,Eday,United Kingdom,0x2qw30z4yp9ssbsavuql0lma2p4mlbadoba14bthz,2017-02-14 05:08:59
1738,San Pedro Sula,Honduras,0x2qw30z4yp9ssbsavuql0lma2p4mlbadoba14bthz,2017-01-07 00:52:23
1724,Barahona,Dominican Republic,0xdceao91yhv7y4cujkslkv18z3lotlfc7zgtd0e70,2016-01-22 07:49:40
4076,Dolpa,Nepal,0xdceao91yhv7y4cujkslkv18z3lotlfc7zgtd0e70,2016-03-12 18:00:00
3774,Valparaiso,United States,0xdceao91yhv7y4cujkslkv18z3lotlfc7zgtd0e70,2016-04-02 10:32:29
2001,Wellington,New Zealand,0xdceao91yhv7y4cujkslkv18z3lotlfc7zgtd0e70,2016-05-16 20:15:45
2542,Rio Grande,Brazil,0xdceao91yhv7y4cujkslkv18z3lotlfc7zgtd0e70,2016-05-28 08:58:34
3339,Anchorage,United States,0xdceao91yhv7y4cujkslkv18z3lotlfc7zgtd0e70,2016-06-30 03:29:48
1606,Ponta Delgada,Portugal,0xdceao91yhv7y4cujkslkv18z3lotlfc7zgtd0e70,2016-08-16 05:01:20
3458,Port Huron,United States,0xdceao91yhv7y4cujkslkv18z3lotlfc7zgtd0e70,2016-09-20 09:15:18
3979,Carlsbad,United States,0xdceao91yhv7y4cujkslkv18z3lotlfc7zgtd0e70,2016-09-11 06:16:27
1947,Nuku Hiva,French Polynesia,0xdceao91yhv7y4cujkslkv18z3lotlfc7zgtd0e70,2016-10-05 06:15:11
2026,Gassim,Saudi Arabia,0xdceao91yhv7y4cujkslkv18z3lotlfc7zgtd0e70,2016-12-04 21:29:46
4482,Colón,Panama,0xdceao91yhv7y4cujkslkv18z3lotlfc7zgtd0e70,2017-01-29 03:16:00
2242,Asahikawa,Japan,0xdceao91yhv7y4cujkslkv18z3lotlfc7zgtd0e70,2017-01-28 00:39:27
3139,Putao,Burma,0xdceao91yhv7y4cujkslkv18z3lotlfc7zgtd0e70,2017-01-17 10:31:13
1029,Mopti,Mali,0xdceao91yhv7y4cujkslkv18z3lotlfc7zgtd0e70,2017-01-01 02:07:23
2592,La Serena,Chile,0xdceao91yhv7y4cujkslkv18z3lotlfc7zgtd0e70,2017-01-09 21:37:56
3644,Farmington,United States,0xdceao91yhv7y4cujkslkv18z3lotlfc7zgtd0e70,2017-01-24 12:00:16
2251,Miyazaki,Japan,0xdceao91yhv7y4cujkslkv18z3lotlfc7zgtd0e70,2017-01-27 00:13:54
90,Moosonee,Canada,0xdceao91yhv7y4cujkslkv18z3lotlfc7zgtd0e70,2017-01-22 07:41:12
2192,West Tinian,Northern Mariana Islands,0x9jnf6e8cj1k7eb77od0pcfho0xepr39bttslmqrp,2016-02-02 01:02:32
1503,Milan,Italy,0x9jnf6e8cj1k7eb77od0pcfho0xepr39bttslmqrp,2016-02-02 15:03:06
850,Umtata,South Africa,0x9jnf6e8cj1k7eb77od0pcfho0xepr39bttslmqrp,2016-04-21 06:47:12
4378,Jiwani,Pakistan,0x9jnf6e8cj1k7eb77od0pcfho0xepr39bttslmqrp,2016-04-16 07:24:28
1075,Selibabi,Mauritania,0x9jnf6e8cj1k7eb77od0pcfho0xepr39bttslmqrp,2016-05-10 14:27:59
1813,Tampico,Mexico,0x9jnf6e8cj1k7eb77od0pcfho0xepr39bttslmqrp,2016-07-01 12:00:15
1150,El Obeid,Sudan,0x9jnf6e8cj1k7eb77od0pcfho0xepr39bttslmqrp,2016-07-04 13:33:00
3464,Pensacola,United States,0x9jnf6e8cj1k7eb77od0pcfho0xepr39bttslmqrp,2016-08-28 06:12:37
3631,New Bern,United States,0x9jnf6e8cj1k7eb77od0pcfho0xepr39bttslmqrp,2016-09-21 07:45:23
3744,Topeka,United States,0x9jnf6e8cj1k7eb77od0pcfho0xepr39bttslmqrp,2016-10-30 06:06:03
4333,Molokai,United States,0x9jnf6e8cj1k7eb77od0pcfho0xepr39bttslmqrp,2016-11-14 10:52:03
1882,Santa Clara,Cuba,0x9jnf6e8cj1k7eb77od0pcfho0xepr39bttslmqrp,2017-02-06 04:18:24
850,Umtata,South Africa,0x9jnf6e8cj1k7eb77od0pcfho0xepr39bttslmqrp,2017-02-10 17:03:55
3763,Portland,United States,0xia9ew38s18g1icjdjcoimhe2msj6i4ic4djs8n4x,2016-01-01 10:23:54
1366,Troyes,France,0xia9ew38s18g1icjdjcoimhe2msj6i4ic4djs8n4x,2016-03-24 08:04:01
2810,Aguadilla,Puerto Rico,0xia9ew38s18g1icjdjcoimhe2msj6i4ic4djs8n4x,2016-04-11 14:32:38
3654,Sioux City,United States,0xia9ew38s18g1icjdjcoimhe2msj6i4ic4djs8n4x,2016-04-16 01:38:33
2959,Baghdogra,India,0xyeud97gntjoeaw4nbnkjh06tlf97r641vvpckhoy,2016-01-11 12:13:58
3378,Annette Island,United States,0xou0qnkrd7z024aiqsetwnh6wdayj6g3b9lxhzecq,2016-01-07 00:02:21
1966,Taupo,New Zealand,0xou0qnkrd7z024aiqsetwnh6wdayj6g3b9lxhzecq,2016-02-25 21:24:39
952,Makokou,Gabon,0xou0qnkrd7z024aiqsetwnh6wdayj6g3b9lxhzecq,2016-03-29 17:32:19
2363,Kalibo,Philippines,0xou0qnkrd7z024aiqsetwnh6wdayj6g3b9lxhzecq,2016-05-11 06:16:04
3525,Teterboro,United States,0xou0qnkrd7z024aiqsetwnh6wdayj6g3b9lxhzecq,2016-06-17 15:10:21
599,Waterford,Ireland,0xou0qnkrd7z024aiqsetwnh6wdayj6g3b9lxhzecq,2016-07-13 16:42:54
4413,Tongoa Island,Vanuatu,0xou0qnkrd7z024aiqsetwnh6wdayj6g3b9lxhzecq,2016-07-25 07:08:44
371,Augsburg,Germany,0xou0qnkrd7z024aiqsetwnh6wdayj6g3b9lxhzecq,2016-08-21 13:51:10
3879,Nevsehir,Turkey,0xou0qnkrd7z024aiqsetwnh6wdayj6g3b9lxhzecq,2016-10-02 11:14:59
736,Spangdahlem,Germany,0xou0qnkrd7z024aiqsetwnh6wdayj6g3b9lxhzecq,2016-10-10 11:50:30
3521,Deadhorse,United States,0xou0qnkrd7z024aiqsetwnh6wdayj6g3b9lxhzecq,2016-12-07 13:40:52
3887,Ilulissat,Greenland,0xou0qnkrd7z024aiqsetwnh6wdayj6g3b9lxhzecq,2017-01-21 20:17:47
816,Messina,South Africa,0xou0qnkrd7z024aiqsetwnh6wdayj6g3b9lxhzecq,2017-01-14 04:38:24
635,Floro,Norway,0xou0qnkrd7z024aiqsetwnh6wdayj6g3b9lxhzecq,2017-02-19 04:47:56
3580,Millville,United States,0xou0qnkrd7z024aiqsetwnh6wdayj6g3b9lxhzecq,2017-01-30 21:27:21
4696,Soalala,Madagascar,0xou0qnkrd7z024aiqsetwnh6wdayj6g3b9lxhzecq,2017-01-05 09:24:45
1434,Kos,Greece,0x33e98hp26hqam18wdw8xg0wi42vzj6h12wikcctg,2016-01-28 00:11:59
3814,Ruteng,Indonesia,0x33e98hp26hqam18wdw8xg0wi42vzj6h12wikcctg,2016-03-12 17:08:53
1316,Grenoble,France,0x33e98hp26hqam18wdw8xg0wi42vzj6h12wikcctg,2016-03-24 09:19:10
2854,Pevek,Russia,0x33e98hp26hqam18wdw8xg0wi42vzj6h12wikcctg,2016-04-05 20:23:50
670,Wroclaw,Poland,0x33e98hp26hqam18wdw8xg0wi42vzj6h12wikcctg,2016-06-08 07:44:22
1648,Lugano,Switzerland,0x33e98hp26hqam18wdw8xg0wi42vzj6h12wikcctg,2016-07-15 06:22:59
3394,Lafayette,United States,0x33e98hp26hqam18wdw8xg0wi42vzj6h12wikcctg,2016-08-19 07:24:58
2288,Akita,Japan,0x33e98hp26hqam18wdw8xg0wi42vzj6h12wikcctg,2016-09-18 03:00:24
1333,Le Castellet,France,0x33e98hp26hqam18wdw8xg0wi42vzj6h12wikcctg,2016-10-06 09:42:26
3592,Laredo,United States,0x33e98hp26hqam18wdw8xg0wi42vzj6h12wikcctg,2016-11-15 10:42:51
3462,Colombia,United States,0x33e98hp26hqam18wdw8xg0wi42vzj6h12wikcctg,2016-12-18 10:00:45
4546,Victoria,United States,0x33e98hp26hqam18wdw8xg0wi42vzj6h12wikcctg,2017-02-20 03:25:53
3303,Harbin,China,0x33e98hp26hqam18wdw8xg0wi42vzj6h12wikcctg,2017-01-24 23:08:37
2595,Puerto Montt,Chile,0x33e98hp26hqam18wdw8xg0wi42vzj6h12wikcctg,2017-01-11 01:14:31
1962,Touho,New Caledonia,0x33e98hp26hqam18wdw8xg0wi42vzj6h12wikcctg,2017-01-20 09:07:23
3233,Prosserpine,Australia,0x33e98hp26hqam18wdw8xg0wi42vzj6h12wikcctg,2017-02-13 21:19:31
3835,Sukhothai,Thailand,0x33e98hp26hqam18wdw8xg0wi42vzj6h12wikcctg,2017-01-09 15:43:23
2103,Ramsar,Iran,0x33e98hp26hqam18wdw8xg0wi42vzj6h12wikcctg,2017-02-13 08:58:04
2836,Dzhambul,Kazakhstan,0xa5masr4py1mcwmw9boaninvp66lm24dvg7qv0gn9,2016-01-07 18:00:56
4781,Fond-Du-Lac,Canada,0xa5masr4py1mcwmw9boaninvp66lm24dvg7qv0gn9,2016-02-28 16:53:18
1070,Tidjikja,Mauritania,0xa5masr4py1mcwmw9boaninvp66lm24dvg7qv0gn9,2016-03-16 00:37:13
365,Essen,Germany,0xa5masr4py1mcwmw9boaninvp66lm24dvg7qv0gn9,2016-04-11 00:54:25
1963,Ouvea,New Caledonia,0xa5masr4py1mcwmw9boaninvp66lm24dvg7qv0gn9,2016-05-29 13:57:28
1167,Soroti,Uganda,0xbsc5i0x2nqowefb7ll0qffgf9zf87h6y8qmocqtt,2016-01-04 04:18:04
212,Illizi,Algeria,0xbsc5i0x2nqowefb7ll0qffgf9zf87h6y8qmocqtt,2016-03-19 08:01:26
3130,Mandalay,Burma,0xbsc5i0x2nqowefb7ll0qffgf9zf87h6y8qmocqtt,2016-03-27 00:15:08
235,Hassi-messaoud,Algeria,0xbsc5i0x2nqowefb7ll0qffgf9zf87h6y8qmocqtt,2016-05-09 12:08:41
1395,St.-brieuc Armor,France,0xbsc5i0x2nqowefb7ll0qffgf9zf87h6y8qmocqtt,2016-05-22 12:44:39
2474,Campos,Brazil,0xbsc5i0x2nqowefb7ll0qffgf9zf87h6y8qmocqtt,2016-07-08 03:03:08
4574,Latrobe,United States,0xbsc5i0x2nqowefb7ll0qffgf9zf87h6y8qmocqtt,2016-07-18 18:44:40
2784,San Antonio,Venezuela,0xbsc5i0x2nqowefb7ll0qffgf9zf87h6y8qmocqtt,2016-09-24 10:53:28
2846,Baku,Azerbaijan,0xbsc5i0x2nqowefb7ll0qffgf9zf87h6y8qmocqtt,2016-09-01 14:13:13
790,George,South Africa,0xbsc5i0x2nqowefb7ll0qffgf9zf87h6y8qmocqtt,2016-10-25 11:03:46
1357,Creil,France,0xjl7ju6rv5s27xkohvgx730p2gfvapyxszcj02qwa,2016-01-29 10:11:05
188,Kapuskasing,Canada,0xjl7ju6rv5s27xkohvgx730p2gfvapyxszcj02qwa,2016-02-21 17:56:07
923,Farafangana,Madagascar,0xjl7ju6rv5s27xkohvgx730p2gfvapyxszcj02qwa,2016-04-21 19:29:19
873,Berberati,Central African Republic,0xjl7ju6rv5s27xkohvgx730p2gfvapyxszcj02qwa,2016-04-07 11:22:41
915,Besalampy,Madagascar,0xjl7ju6rv5s27xkohvgx730p2gfvapyxszcj02qwa,2016-06-13 05:26:37
678,Joenkoeping,Sweden,0xjl7ju6rv5s27xkohvgx730p2gfvapyxszcj02qwa,2016-07-03 07:33:13
4020,Baghdad,Iraq,0xjl7ju6rv5s27xkohvgx730p2gfvapyxszcj02qwa,2016-07-31 03:26:06
3222,Singapore,Singapore,0xjl7ju6rv5s27xkohvgx730p2gfvapyxszcj02qwa,2016-08-29 07:58:26
4203,Tabarka,Tunisia,0xyj0eyuk6huyxtyncz3a3ug34uw1lugbe8ukxdjfa,2016-01-16 00:58:25
3259,Canberra,Australia,0xyj0eyuk6huyxtyncz3a3ug34uw1lugbe8ukxdjfa,2016-03-08 07:03:56
2737,Talara,Peru,0xyj0eyuk6huyxtyncz3a3ug34uw1lugbe8ukxdjfa,2016-04-04 20:53:21
2983,Rourkela,India,0xyj0eyuk6huyxtyncz3a3ug34uw1lugbe8ukxdjfa,2016-04-17 23:45:30
1452,Samos,Greece,0xyj0eyuk6huyxtyncz3a3ug34uw1lugbe8ukxdjfa,2016-06-14 16:13:59
4220,Ust Ilimsk,Russia,0xyj0eyuk6huyxtyncz3a3ug34uw1lugbe8ukxdjfa,2016-06-21 15:58:08
1773,Hermosillo,Mexico,0xyj0eyuk6huyxtyncz3a3ug34uw1lugbe8ukxdjfa,2016-07-22 02:04:20
3312,Barter Island,United States,0xyj0eyuk6huyxtyncz3a3ug34uw1lugbe8ukxdjfa,2016-09-18 02:15:17
2826,Scarborough,Trinidad and Tobago,0xyj0eyuk6huyxtyncz3a3ug34uw1lugbe8ukxdjfa,2016-09-28 04:23:28
2233,Chitose,Japan,0xyj0eyuk6huyxtyncz3a3ug34uw1lugbe8ukxdjfa,2016-10-07 00:01:40
2269,Hiroshima,Japan,0xyj0eyuk6huyxtyncz3a3ug34uw1lugbe8ukxdjfa,2016-12-04 05:55:00
2924,Daman,India,0xyj0eyuk6huyxtyncz3a3ug34uw1lugbe8ukxdjfa,2017-02-10 16:43:14
4740,Namsos,Norway,0xyj0eyuk6huyxtyncz3a3ug34uw1lugbe8ukxdjfa,2017-01-06 12:34:22
3320,Indian Mountains,United States,0xyj0eyuk6huyxtyncz3a3ug34uw1lugbe8ukxdjfa,2017-02-20 22:42:30
2203,Yap,Micronesia,0xyj0eyuk6huyxtyncz3a3ug34uw1lugbe8ukxdjfa,2017-01-03 20:48:38
1584,Linz,Austria,0x78d2w7yxa8dmgn5q5ddxgbhe7vcgtx7l3fuolf5n,2016-02-03 10:09:14
986,Victoria Falls,Zimbabwe,0x78d2w7yxa8dmgn5q5ddxgbhe7vcgtx7l3fuolf5n,2016-03-04 06:26:58
3983,Santarem,Brazil,0x78d2w7yxa8dmgn5q5ddxgbhe7vcgtx7l3fuolf5n,2016-03-14 22:39:31
2930,Jamnagar,India,0x78d2w7yxa8dmgn5q5ddxgbhe7vcgtx7l3fuolf5n,2016-04-21 18:05:23
905,Toamasina,Madagascar,0x78d2w7yxa8dmgn5q5ddxgbhe7vcgtx7l3fuolf5n,2016-06-20 18:04:18
2019,Al-ahsa,Saudi Arabia,0x78d2w7yxa8dmgn5q5ddxgbhe7vcgtx7l3fuolf5n,2016-07-19 11:53:23
1667,Sivas,Turkey,0x78d2w7yxa8dmgn5q5ddxgbhe7vcgtx7l3fuolf5n,2016-08-24 13:57:51
55,Fredericton,Canada,0x78d2w7yxa8dmgn5q5ddxgbhe7vcgtx7l3fuolf5n,2016-08-22 21:28:07
